port,name,category
20,FTP-Data,File
21,FTP,File
22,SSH,Remote
23,Telnet,Remote
25,SMTP,Mail
53,DNS,Infra
67,DHCP,Infra
68,DHCP,Infra
80,HTTP,Web
88,Kerberos,Auth
110,POP3,Mail
123,NTP,Infra
135,MS-RPC,Windows
137,NetBIOS,Windows
138,NetBIOS,Windows
139,NetBIOS,Windows
143,IMAP,Mail
161,SNMP,Infra
162,SNMP-Trap,Infra
389,LDAP,Auth
443,HTTPS,Web
445,SMB,File
465,SMTPS,Mail
514,Syslog,Infra
587,SMTP-Submission,Mail
636,LDAPS,Auth
993,IMAPS,Mail
995,POP3S,Mail
1433,MSSQL,Database
1521,Oracle,Database
2049,NFS,File
3306,MySQL,Database
3389,RDP,Remote
5432,PostgreSQL,Database
5672,AMQP,App
5900,VNC,Remote
6379,Redis,Database
6443,Kubernetes-API,App
8080,HTTP-Alt,Web
8443,HTTPS-Alt,Web
8848,Nacos,App
9000,ClickHouse/MinIO,App
9090,Prometheus,App
9200,Elasticsearch,App
9443,HTTPS-Alt,Web
27017,MongoDB,Database
51820,WireGuard,VPN
